FETION_FLAG,MOBMAIL_FLAG,MOBNEWS_FLAG,TIMENEWS_FLAG,CR_FLAG,WIRELESS_ADV_USR_FLAG,WIRELESS_MUS_FLAG,CR_BOX_FLAG,PIM_FLAG,SMSRTN_FLAG,HOTEL_PREORD_CALL_FLAG,AER_PREORD_FLAG,MO_CALL_12580_FLAG,MOBPAY_FLAG,MOBDOWN_FLAG,mms_flag,gprs_flag,quanqu_down_flag,khbm
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,12789
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12834
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12839
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12840
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12848
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12850
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12873
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,12898
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12899
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,12905
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12914
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12920
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12921
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12929
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12931
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12959
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12973
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12976
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,13000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13012
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,13013
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,13017
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13023
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13029
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13030
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13041
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13055
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13065
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13067
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13081
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13095
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,13101
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13110
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13112
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,13120
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13132
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13133
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,13148
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13155
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13178
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,13180
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,13184
1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,13203
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13220
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,13221
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13227
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,13245
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13249
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,13252
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13254
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13258
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13262
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13281
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13284
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,13303
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13340
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13355
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,13358
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13397
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13403
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13404
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13419
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13443
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13448
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13450
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13469
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13484
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13490
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13500
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,13501
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,13509
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13511
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13516
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13528
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13538
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13585
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13593
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13601
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13612
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,13638
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13654
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13669
